,Item,Price Per Unit,Start_date,End_date
140,Item_10_BEV,18.5,2021-01-01,2026-12-31
181,Item_10_BUT,18.5,2021-01-01,2026-12-31
74,Item_10_CEA,18.5,2021-01-01,2026-12-31
31,Item_10_EHE,18.5,2021-01-01,2026-12-31
16,Item_10_FOOD,18.5,2021-01-01,2026-12-31
27,Item_10_FUR,18.5,2021-01-01,2026-12-31
194,Item_10_MILK,18.5,2021-01-01,2026-12-31
0,Item_10_PAT,18.5,2021-01-01,2026-12-31
28,Item_11_BEV,20.0,2021-01-01,2026-12-31
172,Item_11_BUT,20.0,2021-01-01,2026-12-31
105,Item_11_CEA,20.0,2021-01-01,2026-12-31
135,Item_11_EHE,20.0,2021-01-01,2026-12-31
22,Item_11_FOOD,20.0,2021-01-01,2026-12-31
58,Item_11_FUR,20.0,2021-01-01,2026-12-31
93,Item_11_MILK,20.0,2021-01-01,2026-12-31
37,Item_11_PAT,20.0,2021-01-01,2026-12-31
123,Item_12_BEV,21.5,2021-01-01,2026-12-31
2,Item_12_BUT,21.5,2021-01-01,2026-12-31
154,Item_12_CEA,21.5,2021-01-01,2026-12-31
115,Item_12_EHE,21.5,2021-01-01,2026-12-31
35,Item_12_FOOD,21.5,2021-01-01,2026-12-31
161,Item_12_FUR,21.5,2021-01-01,2026-12-31
193,Item_12_MILK,21.5,2021-01-01,2026-12-31
50,Item_12_PAT,21.5,2021-01-01,2026-12-31
188,Item_13_BEV,23.0,2021-01-01,2026-12-31
99,Item_13_BUT,23.0,2021-01-01,2026-12-31
94,Item_13_CEA,23.0,2021-01-01,2026-12-31
13,Item_13_EHE,23.0,2021-01-01,2026-12-31
134,Item_13_FOOD,23.0,2021-01-01,2026-12-31
191,Item_13_FUR,23.0,2021-01-01,2026-12-31
143,Item_13_MILK,23.0,2021-01-01,2026-12-31
117,Item_13_PAT,23.0,2021-01-01,2026-12-31
65,Item_14_BEV,24.5,2021-01-01,2026-12-31
150,Item_14_BUT,24.5,2021-01-01,2026-12-31
102,Item_14_CEA,24.5,2021-01-01,2026-12-31
197,Item_14_EHE,24.5,2021-01-01,2026-12-31
20,Item_14_FOOD,24.5,2021-01-01,2026-12-31
17,Item_14_FUR,24.5,2021-01-01,2026-12-31
160,Item_14_MILK,24.5,2021-01-01,2026-12-31
49,Item_14_PAT,24.5,2021-01-01,2026-12-31
169,Item_15_BEV,26.0,2021-01-01,2026-12-31
185,Item_15_BUT,26.0,2021-01-01,2026-12-31
43,Item_15_CEA,26.0,2021-01-01,2026-12-31
155,Item_15_EHE,26.0,2021-01-01,2026-12-31
167,Item_15_FOOD,26.0,2021-01-01,2026-12-31
128,Item_15_FUR,26.0,2021-01-01,2026-12-31
107,Item_15_MILK,26.0,2021-01-01,2026-12-31
129,Item_15_PAT,26.0,2021-01-01,2026-12-31
3,Item_16_BEV,27.5,2021-01-01,2026-12-31
38,Item_16_BUT,27.5,2021-01-01,2026-12-31
36,Item_16_CEA,27.5,2021-01-01,2026-12-31
109,Item_16_EHE,27.5,2021-01-01,2026-12-31
195,Item_16_FOOD,27.5,2021-01-01,2026-12-31
